,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
2296,27.5,65.0,15.0,2.0,1.0,3.0,1.0,8,3,1,940.536575074
2297,20.4,40.0,5.0,2.0,2.0,3.0,1.0,12,1,1,1346.15
2298,23.0,130.0,0.0,1.0,1.0,3.0,1.0,4,1,1,2307.0
2304,29.0,60.0,10.0,2.0,1.0,3.0,1.0,13,2,1,1057.69
2308,24.1,30.0,0.0,2.0,1.0,2.0,1.0,3,1,1,1519.23
2312,24.9,180.0,0.0,2.0,2.0,3.0,1.0,5,1,1,692.3
2316,21.9,80.0,5.0,2.0,1.0,3.0,1.0,13,1,1,1214.57
2321,32.200001,65.0,0.0,1.0,2.0,3.0,1.0,4,6,0,450.0
2325,32.299999,75.0,0.0,2.0,1.0,3.0,1.0,8,1,1,1280.0
2330,20.5,60.0,0.0,2.0,1.0,3.0,1.0,1,4,1,940.536575074
2338,28.700001,90.0,6.0,1.0,1.0,3.0,1.0,9,2,1,0.0
2347,23.200001,80.0,15.0,2.0,2.0,3.0,1.0,10,3,1,596.15
2348,27.4,0.0,15.0,1.0,1.0,3.0,2.0,5,3,0,185.0
2361,31.0,30.0,10.0,2.0,1.0,3.0,1.0,4,1,1,1750.0
2369,25.200001,3.0,3.0,1.0,1.0,3.0,1.0,10,2,1,669.23
2376,23.700001,50.0,0.0,2.0,2.0,3.0,2.0,9,1,1,1665.0
2380,35.900002,75.0,20.0,2.0,1.0,3.0,2.0,10,1,0,653.84
2387,33.299999,45.0,30.0,1.0,1.0,3.0,1.0,13,1,1,450.0
2396,22.799999,65.0,15.0,2.0,1.0,3.0,2.0,10,1,1,884.61
2411,27.1,35.0,30.0,1.0,1.0,3.0,1.0,10,3,0,155.0
2413,27.4,75.0,10.0,2.0,1.0,3.0,1.0,9,1,1,1923.07
2419,30.299999,75.0,0.0,1.0,1.0,3.0,1.0,12,2,0,100.0
2431,31.200001,20.0,0.0,2.0,2.0,2.0,1.0,4,6,0,268.8
2432,24.6,45.0,90.0,2.0,2.0,3.0,1.0,10,1,1,810.3
2433,27.6,65.0,0.0,2.0,1.0,3.0,1.0,4,6,1,837.66
2438,27.5,15.0,10.0,1.0,2.0,3.0,1.0,10,3,0,940.536575074
2440,27.5902193611,0.0,0.0,2.0,1.0,3.0,2.0,4,1,1,1050.0
2444,29.200001,15.0,0.0,2.0,2.0,3.0,3.0,12,5,1,826.92
2448,27.5902193611,90.0,0.0,2.0,1.0,3.0,1.0,9,1,1,692.3
2453,24.9,40.0,5.0,2.0,2.0,3.0,4.0,4,6,1,480.0
2464,26.6,20.0,0.0,2.0,1.0,1.0,1.0,10,2,0,520.0
2489,27.5,50.0,10.0,2.0,1.0,3.0,1.0,10,1,1,1449.19
2492,31.9,3.0,0.0,1.0,1.0,3.0,1.0,3,5,1,850.0
2497,34.5,20.0,0.0,2.0,2.0,3.0,1.0,4,1,1,769.23
2500,27.5902193611,60.0,0.0,2.0,2.0,3.0,1.0,12,3,1,538.46
2502,29.299999,60.0,5.0,1.0,1.0,3.0,2.0,10,3,1,680.0
2504,20.799999,45.0,5.0,2.0,1.0,3.0,1.0,12,2,0,940.536575074
2508,32.5,40.0,3.0,1.0,1.0,3.0,1.0,5,2,0,414.4
2510,27.5902193611,135.0,30.0,2.0,1.0,3.0,1.0,10,1,0,1000.0
2511,29.0,15.0,5.0,2.0,1.0,3.0,1.0,13,2,1,715.38
2524,18.5,120.0,0.0,1.0,1.0,3.0,2.0,12,2,1,346.0
2526,27.200001,90.0,0.0,2.0,1.0,3.0,5.0,13,3,1,638.8
2534,24.5,20.0,15.0,2.0,1.0,3.0,1.0,10,1,0,940.536575074
2536,25.799999,35.0,15.0,1.0,1.0,3.0,1.0,9,2,0,250.0
2538,31.1,30.0,0.0,1.0,2.0,3.0,1.0,10,3,1,375.0
2544,24.0,30.0,35.0,1.0,1.0,3.0,1.0,3,1,1,1600.0
2547,24.4,45.0,10.0,2.0,1.0,3.0,2.0,8,1,1,826.92
